feature,importance
Model_Infinix Hot 12,4.570755609916313e-06
Colour_SLATE GREY,4.5238855324808365e-06
Colour_Marine Blue,4.50129995548108e-06
Model_realme C55,4.373066582208584e-06
Model_SAMSUNG Galaxy M04,4.277173535408832e-06
Model_POCO C50,4.246806161152078e-06
Model_redmi min,4.232565646764434e-06
Model_vivo Y1s,4.154747519297626e-06
Processor__SC9863A,4.1119571885115205e-06
Colour_Mithril Grey,3.955517537779393e-06
Colour_Lavender Blue,3.870145158033514e-06
Processor__Snapdragon 680,3.839486744498805e-06
Model_OPPO A77s,3.821424167195777e-06
Colour_Mint Green,3.7376757467426973e-06
Model_REDMI 9 Activ,3.705785047388173e-06
Model_realme C30,3.6373824480397224e-06
Colour_Lunar Black,3.619479455786433e-06
Colour_Infinity Black,3.5970282725504614e-06
Processor__MediaTek Dimensity 800U,3.5671509743147864e-06
Model_realme C11 2021,3.5091543706811713e-06
Processor__Octa-core,3.4567417592216544e-06
Model_REDMI A1+,3.408450934534909e-06
Colour_Gold,3.3695598329239256e-06
Colour_chalk,3.366893039368405e-06
Colour_Clash White,3.3227150629652963e-06
Model_Infinix NOTE 12i,3.307593920394697e-06
Colour_Tahiti Gold,3.2364495340597742e-06
Colour_Mineral Gray,3.2305150998849098e-06
Colour_Sky Mirror,3.1927511279894455e-06
Processor__Unisoc SC9863A/ Unisoc SC9863A1,3.087521185423938e-06
Colour_Frost White,3.065408595646553e-06
Colour_Astral Black,2.9462329328680795e-06
Processor__Spreadtrum SC9863A1,2.912911151380616e-06
Model_realme C31,2.8589247840883044e-06
Processor__MediaTek Helio G88,2.817533706344547e-06
Model_Infinix Smart 7 HD,2.8064961755545507e-06
Colour_Uyuni Blue,2.7845970118498805e-06
Colour_Cool Grey,2.745069429227168e-06
Colour_Diamond White,2.742839797767458e-06
Colour_Turbo Black,2.7347728036697034e-06
Colour_Nebula Blue,2.73203361153543e-06
Colour_Creamy White,2.709834907173078e-06
Colour_Cross Black,2.628233604808322e-06
Model_Tecno Pop 5 Pro,2.5930722098360275e-06
Colour_Frosted Blue,2.5093708261201486e-06
Colour_Caribbean Green,2.497623506765145e-06
Colour_Nebula Purple,2.452137122064484e-06
Colour_Opal Green,2.413880043211897e-06
Processor__Helio A22,2.3952712137429866e-06
Processor__Qualcomm Snapdragon 720G,2.374010393682921e-06
Model_realme Narzo N55,2.3675006584795086e-06
Model_REDMI 12c,2.3456285732654972e-06
Model_Redmi 9A Sport,2.1597392139963353e-06
Colour_Jade Purple,2.1584340213690823e-06
Model_itel A60,2.1511253182084957e-06
Model_realme 9 5G,2.123374295717239e-06
Colour_CHARCOAL BLACK,2.116374164557286e-06
Colour_Blade Silver,2.07500294663267e-06
Colour_Dawn Gold,1.9824152620359302e-06
Colour_Sunshower,1.918590540408665e-06
Model_MOTOROLA e40,1.876345904544876e-06
Colour_Meteorite Grey,1.7790518386062078e-06
Model_realme C33,1.7740530405391358e-06
Processor__MediaTek G37,1.7702816651558063e-06
Colour_Country Green,1.713761280140284e-06
Colour_Azure Blue,1.6943763164030298e-06
Model_Infinix HOT 20 Play,1.6739426906780874e-06
Colour_Stardust White,1.6679712873052576e-06
Processor__Spreadtrum,1.6524936231287002e-06
Colour_UYUNI BLUE,1.6494837418916619e-06
Colour_Punk Black,1.6011256416812821e-06
Colour_Flashy Black,1.5151028778786428e-06
Colour_Arctic White,1.5025541121456024e-06
Model_Tecno Pova 3,1.500846582180535e-06
Model_REDMI 10 Prime 2022,1.4513933423794671e-06
Colour_Watery Blue,1.3187389490825304e-06
Colour_Scarlet Red,1.3020479674450997e-06
Colour_Atlantic Blue,1.2397763871897815e-06
Model_micromax 3,1.2316961470020696e-06
Processor__MediaTek Helio G37,1.2107902352159834e-06
Processor__MediaTek Helio A22,1.1643372154859276e-06
Processor__MediaTek G35,1.1299828017724519e-06
Colour_Midnight Blue,1.0813846202921851e-06
Processor__Unisoc T612 processor,1.0641484089460813e-06
Model_realme Narzo 50i Prime,1.0392561123648647e-06
Colour_Pearly White,1.0341118495918694e-06
Processor__Mediatek Helio G95,1.0104635218468058e-06
Model_Nokia C01 Plus,9.95825051266943e-07
Model_realme C21Y,9.549976561875241e-07
Colour_Iris Purple,9.380537557834149e-07
Model_MOTOROLA e22s,9.144351226125643e-07
Colour_Marigold,9.054895018196707e-07
Model_Tecno Spark 8T,9.039088145364978e-07
Colour_Light Silver,9.034959751345608e-07
Processor__MediaTek Helio A20,8.589522463285984e-07
Model_nothing phone 1,7.841368116716066e-07
Model_micromax 2,7.503849362180276e-07
Model_I Kall Z19Pro Flash blue,7.370564888508374e-07
Colour_Glacier White,7.226084310432342e-07
Colour_Astral White,7.15995559999448e-07
Colour_Flame Red,6.765465544936626e-07
Colour_Sunrise Copper,6.494855838655333e-07
Colour_Waterfall Blue,6.305574814223896e-07
Model_Infinix Smart 5A,6.189043960922077e-07
Colour_Starry Purple,5.706030450357467e-07
Colour_Carbon Gray,5.684292491753137e-07
Processor__Unisoc SC9863A,5.548778473131581e-07
Model_Tecno Spark 9,5.523456527048398e-07
Colour_Grey,5.492617074107985e-07
Model_realme narzo 50i Prime,5.325777234232739e-07
Colour_Velocity Wave,4.951406768861714e-07
Colour_Denim Black,4.6940776849008307e-07
Colour_Meteor Black,4.5977671484094405e-07
Colour_Lucent White,4.5258537961677014e-07
Colour_Brown,4.515142788780627e-07
Colour_Supersonic Black,4.434824141839252e-07
Model_LAVA Z21,4.0235448133326485e-07
Model_Infinix Note 12 5G,3.9529208313978503e-07
